Collection Name,Institution Name,Estimated Items,Actual Items,Digitized Items
Baruch College Special,Baruch College,200,208,175
Centro Records,Centro de Estudios Puertoriqueños at Hunter College,63,68,65
Cinema Then/Cinema Now,CUNY TV,180,178,166
City Club,CUNY TV,240,413,171
Criminal Justice Closeup,John Jay College,180,0,0,Ellen Belcher
Hall of Fame for Great Americans,Bronx Community College,30,34,25
HoMoVisiones,Centro de Estudios Puertoriqueños at Hunter College,283,351,168
Medgar Evers College,Medgar Evers College,13,13,13
Politics con Sabor,Centro de Estudios Puertoriqueños at Hunter College,108,108,108
